,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
39,Brother Louie,VIZE,0.868,0.746,6,-3.989,0,0.189,0.105,1.34e-05,0.121,0.859,117.008,172459,4
40,Brothers In Arms - Radio Edit,Micar,0.712,0.69,11,-8.363,0,0.112,0.288,0.0,0.227,0.567,120.012,161751,4
41,Budapest,George Ezra,0.714,0.451,5,-8.268,1,0.0276,0.0883,0.0,0.108,0.406,127.787,200720,4
42,Bullet In A Gun,Imagine Dragons,0.816,0.735,8,-5.49,1,0.0539,0.16,0.000108,0.0665,0.476,130.029,204853,4
43,Bulletproof,La Roux,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,205733,4
44,Burn,Ellie Goulding,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,231212,4
45,BURN IT DOWN,Linkin Park,0.585,0.972,9,-4.45,0,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253,4
46,Burn Out,Imagine Dragons,0.588,0.494,10,-8.831,0,0.0536,0.0213,7.2e-05,0.0966,0.291,135.004,273880,4
47,Burn the House Down,AJR,0.454,0.66,0,-4.357,1,0.168,0.0364,0.0,0.181,0.568,184.353,212689,4
48,The Business,Tiësto,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000,4
49,Buttercup,Jack Stauber,0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046,208026,4
50,By Your Side,Jonas Blue,0.695,0.743,6,-3.85,1,0.0329,0.0786,0.0,0.0587,0.634,123.007,201254,4
51,Cake By The Ocean,DNCE,0.774,0.748,4,-5.478,0,0.0509,0.163,0.0,0.0516,0.914,119.009,218440,4
52,California Gurls,Katy Perry,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4
53,California King Bed,Rihanna,0.467,0.586,7,-3.942,1,0.0357,0.218,0.0,0.12,0.318,169.93,251613,4
54,Calling All,Phantogram,0.6,0.946,7,-3.984,1,0.0407,0.0028,0.0272,0.0845,0.135,95.995,221333,4
55,Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440,4
56,Call Me Maybe,Carly Rae Jepsen,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
57,Call on Me - Remix,Starley,0.692,0.83,0,-4.444,1,0.0372,0.0982,0.00017,0.106,0.801,104.973,195732,4
58,Calypso,Luis Fonsi,0.863,0.84,1,-3.7,0,0.0587,0.158,0.0,0.368,0.934,109.977,200973,4
59,Came Here for Love,Sigala,0.698,0.869,6,-3.294,1,0.0467,0.0223,0.0,0.121,0.715,125.007,203387,4
60,Candy,Robbie Williams,0.715,0.791,10,-6.63,1,0.0414,0.0368,0.0,0.0694,0.879,116.043,201053,4
61,Candyland,Tobu,0.688,0.867,4,-4.182,1,0.0393,0.0485,0.00118,0.469,0.301,128.003,200640,4
62,Cannonball (Earthquake) - Radio Mix,Showtek,0.647,0.937,5,-3.445,0,0.0534,0.0212,0.156,0.0911,0.709,127.981,187748,4
63,Can't Feel My Face,The Weeknd,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,4
64,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4
65,Can't Let Go,Faydee,0.77,0.709,8,-5.555,0,0.058,0.202,0.0,0.139,0.599,99.958,224028,4
66,Can't Remember to Forget You (feat. Rihanna),Shakira,0.694,0.81,11,-3.556,0,0.0661,0.122,0.0,0.141,0.824,137.968,206867,4
67,Can't Stop Playing - Oliver Heldens & Gregor Salto Remix Edit,Dr Kucho! and Gregor Salto,0.765,0.923,6,-7.693,1,0.0431,0.0453,0.782,0.215,0.793,124.997,180490,4
68,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,236002,4
69,Can We Kiss Forever?,Kina,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,187932,4
70,Can You Feel My Heart,Bring Me The Horizon,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,228147,5
71,cardigan,Taylor Swift,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4
72,Carry Me (feat. Julia Michaels),Kygo,0.621,0.551,7,-7.89,1,0.0474,0.486,0.0,0.115,0.222,105.052,233133,4
73,Carry On - Nicky Romero Remix,Kygo,0.447,0.684,9,-4.721,0,0.09,0.175,0.0,0.478,0.437,125.655,175312,4
74,Castle on the Hill,Ed Sheeran,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4
75,Centuries,Fall Out Boy,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,228360,4
76,Chained To The Rhythm,Katy Perry,0.562,0.8,0,-5.404,1,0.112,0.0814,0.0,0.199,0.471,95.029,237733,4
77,Chainsaw,Nick Jonas,0.57,0.683,2,-4.493,1,0.0496,0.138,0.0,0.0736,0.297,84.938,199520,4
78,Chandelier,Sia,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120,5
79,Changes - Radio Mix,Faul & Wad Ad,0.772,0.7,1,-7.285,1,0.0332,0.00585,0.49,0.0745,0.426,126.017,202173,4
80,Chantaje (feat. Maluma),Shakira,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,4
81,Cheap Thrills,Sia,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4
82,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,0.782,0.685,4,-6.237,1,0.0309,0.166,1.18e-05,0.16,0.603,118.016,180566,4
83,Chew On My Heart,James Bay,0.545,0.719,11,-5.424,0,0.039,0.0696,0.0,0.146,0.196,123.075,195213,4
84,Chunky,Bruno Mars,0.571,0.539,5,-4.446,0,0.116,0.0208,0.0,0.125,0.727,202.103,186973,4
85,Ciao Adios,Anne-Marie,0.694,0.853,7,-3.986,1,0.0934,0.136,0.0,0.322,0.501,106.098,199773,4
86,Circles,Post Malone,0.704,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003,214907,4
87,Classic,MKTO,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4
88,Close,Nick Jonas,0.654,0.623,6,-5.273,0,0.082,0.253,0.0,0.144,0.401,123.996,234213,4
89,Closer,The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4
90,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,0.575,0.758,1,-5.029,0,0.0618,0.0954,0.0,0.394,0.493,144.107,182623,4
91,Close Your Eyes,Felix Jaehn,0.818,0.823,11,-3.563,0,0.2,0.0663,1.17e-05,0.133,0.52,128.136,160794,4
92,C'Mon,Kesha,0.558,0.781,1,-5.448,0,0.0963,0.00657,0.00144,0.102,0.286,126.025,214333,4
93,Cold (feat. Future),Maroon 5,0.697,0.716,9,-6.288,0,0.113,0.118,0.0,0.0424,0.506,99.905,234308,4
94,Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943,185352,4
95,Colors,Halsey,0.512,0.812,1,-4.809,1,0.0617,0.0534,0.0,0.092,0.521,100.02,249500,4
96,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM",Jason Derulo,0.707,0.845,8,-3.478,1,0.201,0.0278,0.0,0.134,0.507,120.125,187390,4
97,Come,Jain,0.819,0.784,1,-6.524,1,0.0435,0.222,0.00786,0.0809,0.831,99.989,162360,4
98,Come Alive,Various Artists,0.666,0.795,1,-5.053,0,0.0664,0.0464,0.0,0.357,0.752,118.002,215320,4
99,Come And Get It,John Newman,0.649,0.718,1,-4.861,1,0.0423,0.00273,8.94e-05,0.115,0.801,109.003,184107,4
100,Come & Get It,Selena Gomez,0.546,0.787,7,-4.1,0,0.0517,0.0101,0.00021,0.0809,0.573,79.979,231987,4
101,Coming Home,Diddy - Dirty Money,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001,238693,4
102,Confident,Demi Lovato,0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064,205746,4
103,Congratulations,Don Diablo,0.821,0.8,5,-5.281,0,0.138,0.0858,3.41e-05,0.343,0.519,120.088,201500,4
104,Congratulations,pewdiepie,0.7,0.795,5,-9.019,0,0.151,0.16,0.0,0.354,0.696,136.018,248354,4
105,Connection,OneRepublic,0.611,0.602,5,-4.89,1,0.0437,0.000837,0.0,0.112,0.624,168.154,148460,4
106,Controlla,Drake,0.59,0.468,10,-11.083,0,0.185,0.0789,0.0,0.101,0.349,92.287,245227,4
107,Cooler Than Me,Lucky Luke,0.889,0.716,7,-6.146,1,0.0708,0.0595,0.0409,0.168,0.296,128.022,179760,4
108,Cool for the Summer,Demi Lovato,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,214740,4
109,Cool Kids,Echosmith,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,237627,4
110,Cool Out,Imagine Dragons,0.636,0.718,1,-4.833,0,0.0313,0.00483,6.51e-06,0.292,0.437,143.929,217867,4
111,Could You Love Me,Kygo,0.693,0.739,0,-6.682,0,0.0388,0.164,1.66e-06,0.0906,0.675,99.976,202053,4
112,Counting Stars,OneRepublic,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016,257267,4
113,Count on Me,Bruno Mars,0.577,0.397,0,-5.98,1,0.028,0.84,0.0,0.0772,0.509,89.044,197373,4
114,Courage to Change,Sia,0.307,0.606,11,-5.567,0,0.0347,0.0927,0.0,0.357,0.11,78.828,292656,4
115,Cradles,Sub Urban,0.534,0.589,1,-1.865,1,0.325,0.256,6.02e-05,0.176,0.632,78.616,209829,4
116,Crazy,Bazzi,0.843,0.694,6,-3.307,1,0.0446,0.0333,0.0,0.0786,0.577,108.897,145321,4
117,Crazy,Lost Frequencies,0.765,0.762,11,-5.069,0,0.123,0.42,8.58e-05,0.104,0.444,114.975,153391,4
118,Creep - mint Singles,R3HAB,0.766,0.611,11,-9.251,1,0.0542,0.112,0.000606,0.187,0.128,126.0,161190,4
119,Crush,Tessa Violet,0.91,0.402,1,-9.55,1,0.0857,0.0297,0.00018,0.0801,0.825,135.993,216267,4
120,Cut Your Teeth - Kygo Remix,Kyla La Grange,0.674,0.678,10,-8.452,0,0.0406,0.59,0.222,0.051,0.465,99.985,399013,4
121,Daddy Issues,The Neighbourhood,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4
122,Dance Monkey,Tones And I,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
123,Dancer - Kygo Remix,Didrik Thulin,0.733,0.504,0,-14.485,0,0.0421,0.0672,0.0156,0.614,0.913,120.001,394000,4
124,Dance With Me,Lost Frequencies,0.704,0.65,2,-7.023,0,0.036,0.45,5.76e-06,0.0732,0.346,109.007,237907,4
125,Dancing in the Moonlight,Toploader,0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397,232693,4
126,Dancing In The Moonlight (feat. NEIMY),Jubël,0.659,0.615,11,-5.865,0,0.0644,0.27,0.0,0.187,0.193,119.843,164010,4
127,Dancing With A Stranger (with Normani),Sam Smith,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
128,Dangerous (feat. Sam Martin),David Guetta,0.466,0.747,4,-4.838,0,0.0795,0.417,9.76e-06,0.107,0.43,92.161,203641,4
129,Dare (La La La),Shakira,0.792,0.73,11,-5.376,1,0.0698,0.0623,2.66e-05,0.089,0.616,128.029,186507,4
130,Dark Horse,Katy Perry,0.647,0.585,6,-6.123,1,0.0512,0.00314,0.0,0.165,0.353,131.934,215672,4
131,Darkside,Alan Walker,0.43,0.606,4,-5.115,0,0.0431,0.131,0.0,0.173,0.123,169.988,211680,4
132,Daylight,Joji,0.528,0.749,7,-7.571,1,0.0479,0.00488,9.6e-05,0.0949,0.729,163.944,163906,4
133,Dear Boy,Avicii,0.686,0.581,9,-5.911,1,0.113,0.000274,0.0987,0.3,0.252,124.995,479333,4
134,Dear Future Husband,Meghan Trainor,0.655,0.782,1,-4.789,1,0.185,0.375,0.0,0.317,0.832,79.427,184227,4
135,Dear Winter,AJR,0.633,0.217,5,-9.717,1,0.045,0.789,0.0,0.293,0.546,94.13,168126,4
136,death bed (coffee for your head),Powfu,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4
137,Deep End,Fousheé,0.711,0.592,4,-7.136,0,0.23,0.758,0.0,0.156,0.535,124.749,141224,4
138,Delicate,Taylor Swift,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,4
139,Demons,Imagine Dragons,0.327,0.71,3,-2.928,1,0.0547,0.202,9e-05,0.28,0.416,179.561,175200,4
140,Désolée (Paris/Paname),SHANGUY,0.825,0.692,6,-6.084,0,0.0627,0.172,0.000996,0.0861,0.602,123.985,207821,4
141,Diamond Heart,Alan Walker,0.478,0.633,0,-6.19,1,0.0345,0.123,0.0,0.41,0.287,89.909,240333,4
142,Diamonds,Sam Smith,0.653,0.667,10,-6.764,0,0.0423,0.154,0.0,0.107,0.556,104.181,213869,4
143,Diamonds,Rihanna,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,225147,4
144,Didn't I,OneRepublic,0.606,0.613,4,-6.758,1,0.0306,0.0182,0.0,0.125,0.258,123.943,207617,4
145,Die A Little,5 Seconds of Summer,0.532,0.729,0,-5.272,0,0.0892,0.0907,0.0,0.195,0.267,149.995,173254,4
146,Die For You,The Weeknd,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,260253,4
147,Die Young,Kesha,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
148,A Different Way (with Lauv),DJ Snake,0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996,198286,4
149,Dilemma,Nelly,0.73,0.551,2,-8.172,0,0.152,0.208,0.000121,0.181,0.604,168.118,289160,4
150,Disturbia,Rihanna,0.703,0.813,11,-4.517,0,0.0574,0.0884,0.0,0.219,0.717,124.904,238573,4
151,DJ Is Your Second Name,C-BooL,0.796,0.737,9,-8.429,0,0.0375,0.00698,0.000334,0.0992,0.868,121.952,212977,4
152,Do It Again,Pia Mia,0.712,0.564,8,-6.527,1,0.047,0.0266,0.0,0.0874,0.411,95.95,207747,4
153,Do It All for You,Alan Walker,0.684,0.657,1,-5.483,1,0.0433,0.126,1.26e-06,0.109,0.415,82.007,174560,4
154,Do I Wanna Know?,Arctic Monkeys,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
155,Dolly Song (Devil's Cup),VIZE,0.815,0.872,9,-4.243,1,0.111,0.421,0.0,0.109,0.512,115.028,157946,4
156,Domino,Jessie J,0.758,0.557,7,-4.568,1,0.034,0.0117,0.0,0.0418,0.781,126.986,231840,4
157,Don't,Ed Sheeran,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,219840,4
158,Don't Be so Hard on Yourself,Jess Glynne,0.571,0.815,6,-3.267,1,0.0321,0.0608,0.0,0.163,0.664,120.008,211460,4
159,Don't Be So Shy - Filatov & Karas Remix,Imany,0.755,0.883,8,-7.072,0,0.0569,0.101,0.0156,0.388,0.89,119.971,191360,4
160,Don't Call Me Up,Mabel,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,4
161,Don't Give Up on Love,Kygo,0.679,0.511,6,-8.289,0,0.0729,0.376,0.0,0.251,0.451,90.99,189750,4
162,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,0.694,0.617,4,-7.838,0,0.0469,0.177,0.0,0.11,0.496,127.928,183747,4
163,Don't Leave Me Now,Lost Frequencies,0.671,0.752,6,-6.806,0,0.0304,0.0258,0.0,0.112,0.717,124.998,195080,4
164,Don't Let Me Down,The Chainsmokers,0.534,0.868,11,-5.057,1,0.205,0.187,0.0032,0.148,0.406,159.763,208667,4
165,Don't Play,Anne-Marie,0.695,0.784,6,-6.564,0,0.0402,0.0889,0.0,0.0843,0.52,128.031,188581,4
166,Don't Say Goodbye (feat. Tove Lo),Alok,0.698,0.719,0,-4.923,0,0.0455,0.00829,4.01e-06,0.326,0.364,120.062,186700,4
167,Don't Sleep Tonight,C-BooL,0.737,0.761,2,-5.722,0,0.0303,0.042,3.48e-06,0.0999,0.697,121.988,175082,4
168,Don't Start Now,Dua Lipa,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
169,Don't Stop The Music,Rihanna,0.844,0.659,6,-5.587,0,0.0626,0.0376,8.07e-05,0.0523,0.54,122.683,267080,4
170,Don't Stop the Party (feat. TJR),Pitbull,0.722,0.958,4,-3.617,1,0.0912,0.00726,0.0,0.375,0.952,127.008,206120,4
171,Don't Talk To Me (feat. Riton & Faangs) (feat. Riton),N.F.I,0.775,0.681,9,-6.262,1,0.0736,0.0164,3.08e-05,0.326,0.731,123.957,206667,4
172,Don't Wake Me Up,Chris Brown,0.602,0.691,7,-5.197,0,0.051,0.0548,0.0,0.144,0.206,127.967,222307,4
173,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.783,0.61,7,-6.124,1,0.0696,0.343,0.0,0.0983,0.418,100.047,214265,4
174,Don't Want You Back,Bakermat,0.767,0.862,6,-3.157,1,0.0799,0.448,0.0,0.0806,0.767,125.997,201240,4
175,Don't Worry (with Ray Dalton) - Radio Edit,Madcon,0.811,0.699,7,-5.211,1,0.114,0.0726,1.38e-06,0.148,0.733,122.987,214789,4
176,Don't You Worry Child - Radio Edit,Swedish House Mafia,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,4
177,Down By The River,Milky Chance,0.688,0.697,9,-7.955,1,0.0485,0.753,6.21e-05,0.109,0.46,114.03,241053,4
178,Do You Mean (feat. Ty Dolla $ign & bülow),The Chainsmokers,0.6,0.666,11,-9.827,1,0.0394,0.102,0.0,0.118,0.566,99.989,193176,4
179,Drag Me Down,One Direction,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4
180,Drama,AJR,0.558,0.678,2,-4.226,1,0.156,0.206,0.0,0.117,0.658,156.129,204424,4
181,Dreamcatcher,LP,0.454,0.666,9,-7.803,0,0.0409,0.0716,0.000108,0.21,0.221,80.015,195347,4
182,Dreamer,Axwell /\ Ingrosso,0.627,0.847,10,-5.303,1,0.0352,0.0237,0.0,0.212,0.611,126.017,251147,4
183,Drinkee - Original Mix,Sofi Tukker,0.773,0.663,2,-8.101,1,0.0496,0.0557,0.61,0.229,0.324,115.002,297507,4
184,Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,0.665,0.886,9,-4.175,0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,240347,4
185,Drive By,Train,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,195973,4
186,drivers license,Olivia Rodrigo,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014,4
187,Drown (feat. Clinton Kane),Martin Garrix,0.573,0.739,9,-5.455,1,0.0581,0.212,0.0,0.175,0.363,120.077,174062,4
188,Drunk Groove,MARUV,0.855,0.64,11,-7.412,0,0.0633,0.00984,0.131,0.371,0.727,111.988,226715,4
189,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,0.724,0.904,8,-3.354,0,0.0966,0.0786,0.0,0.226,0.846,90.999,200813,4
190,Dumb,Olivia Addams,0.688,0.715,1,-6.499,0,0.0707,0.188,1.15e-06,0.0802,0.552,124.877,160418,4
191,Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000,4
192,Dying Bird,Lost Frequencies,0.661,0.684,7,-8.053,1,0.109,0.0269,4.71e-06,0.281,0.599,109.969,188653,4
193,Dynamite,Taio Cruz,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,202613,4
194,Earned It (Fifty Shades Of Grey),The Weeknd,0.483,0.278,2,-8.461,0,0.0372,0.438,0.0,0.0767,0.369,119.98,277680,3
195,Easier,5 Seconds of Summer,0.505,0.428,5,-5.604,1,0.221,0.489,0.0,0.0977,0.618,175.813,157493,4
196,Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,173800,4
197,Easy,Camila Cabello,0.574,0.593,4,-5.731,0,0.0463,0.411,1.55e-06,0.0966,0.355,128.073,194686,4
198,Easy Love,Sigala,0.693,0.955,9,-2.872,1,0.0676,0.256,0.000884,0.138,0.713,123.984,227709,4
199,Easy Love,Sigala,0.68,0.942,9,-4.208,1,0.0631,0.175,0.0013,0.117,0.647,123.976,229813,4
200,Ego - Radio Edit,Willy William,0.742,0.919,8,-2.562,1,0.0316,0.285,0.0106,0.365,0.556,99.999,207600,4
201,Elastic Heart,Sia,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200,4
202,El Mismo Sol,Alvaro Soler,0.715,0.862,8,-5.634,0,0.0528,0.0457,6.96e-06,0.0759,0.949,112.995,188093,4
203,Empire State Of Mind,JAY-Z,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,276920,4
204,Empty Cups,Charlie Puth,0.77,0.555,4,-6.361,1,0.0754,0.224,1.78e-06,0.0754,0.776,100.035,170947,4
205,End of Time (Tribute Remix),K-391,0.652,0.684,4,-6.013,0,0.046,0.0104,0.0,0.209,0.158,125.969,174733,4
